name,type,win_rate,gamesplayed
Lumber Yard,brown,0.30612244897959184,1715.0
Stone Pit,brown,0.3056962025316456,1580.0
Clay Pool,brown,0.327683615819209,1593.0
Ore Vein,brown,0.33596118859915103,1649.0
Clay Pit,brown,0.34595959595959597,1584.0
Timber Yard,brown,0.3808969132207338,1717.0
Glassworks,grey,0.27164804469273746,1432.0
Press,grey,0.3405114401076716,1486.0
Loom,grey,0.3533278553820871,1217.0
Baths,blue,0.33418367346938777,784.0
Altar,blue,0.242914979757085,247.0
Theatre,blue,0.0,1.0
East Trading Post,yellow,0.31695331695331697,1628.0
West Trading Post,yellow,0.30591715976331363,1690.0
Marketplace,yellow,0.29697396199859255,1421.0
Stockade,red,0.32491694352159467,1505.0
Barracks,red,0.34581772784019976,1602.0
Guard Tower,red,0.33354755784061696,1556.0
Apothecary,green,0.36642027455121434,947.0
Workshop,green,0.3509933774834437,1963.0
Scriptorium,green,0.3717816683831102,971.0
Sawmill,brown,0.3093812375249501,1002.0
Quarry,brown,0.39893617021276595,376.0
Brickyard,brown,0.2651834034876729,1663.0
Foundry,brown,0.40384615384615385,52.0
Aqueduct,blue,0.33580980683506684,1346.0
Temple,blue,0.2692307692307692,624.0
Statue,blue,0.35384615384615387,195.0
Courthouse,blue,0.3814064362336114,839.0
Forum,yellow,0.28440965427266796,1533.0
Caravansery,yellow,0.33498145859085293,1618.0
Vineyard,yellow,0.2994522215459525,1643.0
Walls,red,0.3934563758389262,1192.0
Stables,red,0.36815607300188796,1589.0
Archery Range,red,0.3575190169689877,1709.0
Dispensary,green,0.3789615643964936,1483.0
Laboratory,green,0.35123183828174354,1583.0
Library,green,0.38839645447219984,1241.0
School,green,0.3501661129568106,1505.0
Pantheon,blue,0.33482893998878294,1783.0
Gardens,blue,0.26340601060695346,1697.0
Town Hall,blue,0.2793687901811806,1711.0
Palace,blue,0.3844041735310269,1821.0
Senate,blue,0.3298902517753389,1549.0
Haven,yellow,0.2983978638184246,1498.0
Lighthouse,yellow,0.28080931943592885,1631.0
Arena,yellow,0.31085043988269795,341.0
Fortifications,red,0.33195020746887965,1687.0
Arsenal,red,0.29132947976878615,865.0
 Siege Workshop,red,0.2374461979913917,1394.0
Lodge,green,0.47282608695652173,920.0
Observatory,green,0.4136504653567735,967.0
University,green,0.4175665946724262,1389.0
Academy,green,0.4188576609247507,1103.0
Study,green,0.3971094287680661,1453.0
Workers Guild,purple,0.39465875370919884,337.0
Traders Guild,purple,0.3795180722891566,332.0
Philosophers Guild,purple,0.4110429447852761,815.0
Spies Guild,purple,0.2878787878787879,858.0
Strategists Guild,purple,0.3285509325681492,697.0
Shipowners Guild,purple,0.3894080996884735,321.0
Scientists Guild,purple,0.4630404463040446,717.0
Magistrates Guild,purple,0.2578125,768.0
Builders Guild,purple,0.32186732186732187,814.0
