name,type,win_rate,gamesplayed
Lumber Yard,brown,0.3629274145170966,1667.0
Stone Pit,brown,0.3333333333333333,1731.0
Clay Pool,brown,0.3384615384615385,1755.0
Ore Vein,brown,0.3381586566299942,1727.0
Clay Pit,brown,0.34629186602870815,1672.0
Timber Yard,brown,0.4338592233009709,1648.0
Glassworks,grey,0.34342186534898084,1619.0
Press,grey,0.34298029556650245,1624.0
Loom,grey,0.3473282442748092,1310.0
Baths,blue,0.35868448098663924,973.0
Altar,blue,0.3384615384615385,260.0
Theatre,blue,0.0,2.0
East Trading Post,yellow,0.3682033096926714,1692.0
West Trading Post,yellow,0.3592950540079591,1759.0
Marketplace,yellow,0.3329390892962744,1691.0
Stockade,red,0.34512683578104136,1498.0
Barracks,red,0.3763089005235602,1528.0
Guard Tower,red,0.36245954692556637,1545.0
Apothecary,green,0.3671147880041365,967.0
Workshop,green,0.42116630669546434,926.0
Scriptorium,green,0.39622641509433965,1007.0
Sawmill,brown,0.3364406779661017,1180.0
Quarry,brown,0.33251231527093594,406.0
Brickyard,brown,0.31125,1600.0
Foundry,brown,0.2112676056338028,71.0
Aqueduct,blue,0.34835837506956036,1797.0
Temple,blue,0.2894211576846307,501.0
Statue,blue,0.3446808510638298,235.0
Courthouse,blue,0.3787878787878788,924.0
Forum,yellow,0.30403800475059384,1684.0
Caravansery,yellow,0.41335044929396664,1558.0
Vineyard,yellow,0.3374340949033392,1707.0
Walls,red,0.39700567888487354,1937.0
Stables,red,0.38845654993514916,1542.0
Archery Range,red,0.39887288666249215,1597.0
Dispensary,green,0.39707016191210487,1297.0
Laboratory,green,0.3681442524417731,1331.0
Library,green,0.4005270092226614,1518.0
School,green,0.364010989010989,1456.0
Pantheon,blue,0.36531627576403697,1407.0
Gardens,blue,0.3272425249169435,1806.0
Town Hall,blue,0.30612244897959184,1813.0
Palace,blue,0.41251682368775233,1486.0
Senate,blue,0.3866513233601841,1738.0
Haven,yellow,0.35142118863049093,1548.0
Lighthouse,yellow,0.34160206718346253,1935.0
Arena,yellow,0.3118811881188119,606.0
Fortifications,red,0.36764705882352944,1632.0
Arsenal,red,0.289920724801812,883.0
 Siege Workshop,red,0.27192386131883073,1471.0
Lodge,green,0.43337334933973587,833.0
Observatory,green,0.42011834319526625,845.0
University,green,0.4349181605611847,1283.0
Academy,green,0.41192411924119243,1107.0
Study,green,0.400997150997151,1404.0
Workers Guild,purple,0.38095238095238093,378.0
Traders Guild,purple,0.3551020408163265,245.0
Philosophers Guild,purple,0.4369747899159664,714.0
Spies Guild,purple,0.33635187580853815,773.0
Strategists Guild,purple,0.34593023255813954,688.0
Shipowners Guild,purple,0.37142857142857144,175.0
Scientists Guild,purple,0.447098976109215,586.0
Magistrates Guild,purple,0.34335443037974683,632.0
Builders Guild,purple,0.32679738562091504,765.0
