name,type,win_rate,gamesplayed
Lumber Yard,brown,0.4072289156626506,1660.0
Stone Pit,brown,0.38461538461538464,1677.0
Clay Pool,brown,0.39433293978748524,1694.0
Ore Vein,brown,0.4495133819951338,1644.0
Clay Pit,brown,0.4497076023391813,1710.0
Timber Yard,brown,0.47747220596840256,1709.0
Glassworks,grey,0.4111726220432813,1987.0
Press,grey,0.4370290635091496,1858.0
Loom,grey,0.34131326949384405,1462.0
Baths,blue,0.38210818307905686,1442.0
Altar,blue,0.32690124858115777,881.0
Theatre,blue,0.2857142857142857,35.0
East Trading Post,yellow,0.4038701622971286,1602.0
West Trading Post,yellow,0.41301703163017034,1644.0
Marketplace,yellow,0.4012307692307692,1625.0
Stockade,red,0.40904255319148936,1880.0
Barracks,red,0.4268558951965066,1832.0
Guard Tower,red,0.41526894158473104,1729.0
Apothecary,green,0.4697876973326075,1837.0
Workshop,green,0.4638646847770374,1951.0
Scriptorium,green,0.47149017728797316,2087.0
Sawmill,brown,0.38354253835425384,1434.0
Quarry,brown,0.4287812041116006,681.0
Brickyard,brown,0.38615096693699313,1603.0
Foundry,brown,0.3076923076923077,91.0
Aqueduct,blue,0.40999315537303216,1461.0
Temple,blue,0.3830409356725146,684.0
Statue,blue,0.3925925925925926,405.0
Courthouse,blue,0.45519287833827893,1685.0
Forum,yellow,0.3607332939089296,1691.0
Caravansery,yellow,0.42727272727272725,1760.0
Vineyard,yellow,0.4170533642691415,1724.0
Walls,red,0.4756164383561644,1825.0
Stables,red,0.4777397260273973,1752.0
Archery Range,red,0.46622833233711897,1673.0
Dispensary,green,0.5170868347338936,1785.0
Laboratory,green,0.4993646759847522,1574.0
Library,green,0.5026680896478122,1874.0
School,green,0.4807923169267707,1666.0
Pantheon,blue,0.4245508982035928,1670.0
Gardens,blue,0.33101529902642557,1438.0
Town Hall,blue,0.3792172739541161,1482.0
Palace,blue,0.4807063440156965,1529.0
Senate,blue,0.4384525205158265,1706.0
Haven,yellow,0.3929214157168566,1667.0
Lighthouse,yellow,0.351729212656365,1359.0
Arena,yellow,0.3011049723756906,362.0
Fortifications,red,0.3899858956276446,1418.0
Arsenal,red,0.3509874326750449,1114.0
 Siege Workshop,red,0.334924965893588,1466.0
Lodge,green,0.5654974946313529,1397.0
Observatory,green,0.5254629629629629,1296.0
University,green,0.5523809523809524,1785.0
Academy,green,0.5547892720306513,1305.0
Study,green,0.5070422535211268,1988.0
Workers Guild,purple,0.415,400.0
Traders Guild,purple,0.4023529411764706,425.0
Philosophers Guild,purple,0.4708333333333333,720.0
Spies Guild,purple,0.37254901960784315,714.0
Strategists Guild,purple,0.40229885057471265,783.0
Shipowners Guild,purple,0.46887966804979253,241.0
Scientists Guild,purple,0.5765983112183354,829.0
Magistrates Guild,purple,0.3527227722772277,808.0
Builders Guild,purple,0.39620081411126185,737.0
