name,type,win_rate,gamesplayed
Lumber Yard,brown,0.35157644259369425,1681.0
Stone Pit,brown,0.3357444243520193,1659.0
Clay Pool,brown,0.3324432576769025,1498.0
Ore Vein,brown,0.34956521739130436,1725.0
Clay Pit,brown,0.33796016898008446,1657.0
Timber Yard,brown,0.44395742016280526,1597.0
Glassworks,grey,0.34431524547803616,1548.0
Press,grey,0.2964912280701754,1710.0
Loom,grey,0.36936936936936937,1332.0
Baths,blue,0.36683417085427134,796.0
Altar,blue,0.3436293436293436,259.0
Theatre,blue,1.0,1.0
East Trading Post,yellow,0.3453738910012674,1578.0
West Trading Post,yellow,0.3355911330049261,1624.0
Marketplace,yellow,0.33764553686934023,1546.0
Stockade,red,0.3744292237442922,1533.0
Barracks,red,0.37812911725955206,1518.0
Guard Tower,red,0.3464373464373464,1628.0
Apothecary,green,0.409486931268151,1033.0
Workshop,green,0.45454545454545453,957.0
Scriptorium,green,0.39821693907875183,2019.0
Sawmill,brown,0.32098765432098764,1134.0
Quarry,brown,0.391304347826087,506.0
Brickyard,brown,0.2827400940228341,1489.0
Foundry,brown,0.19607843137254902,51.0
Aqueduct,blue,0.3541125541125541,1155.0
Temple,blue,0.25,384.0
Statue,blue,0.3314917127071823,181.0
Courthouse,blue,0.3963463065925338,1259.0
Forum,yellow,0.31966053748231965,1414.0
Caravansery,yellow,0.36883273164861613,1662.0
Vineyard,yellow,0.3394255874673629,1532.0
Walls,red,0.43048403707518024,971.0
Stables,red,0.38666666666666666,1500.0
Archery Range,red,0.3956386292834891,1605.0
Dispensary,green,0.43036386449184444,1594.0
Laboratory,green,0.37752318603382434,1833.0
Library,green,0.4052744886975242,1858.0
School,green,0.3816335948315644,2167.0
Pantheon,blue,0.3481927710843373,1660.0
Gardens,blue,0.2911931818181818,1408.0
Town Hall,blue,0.3046092184368738,1497.0
Palace,blue,0.3947990543735225,1692.0
Senate,blue,0.36032138442521633,1618.0
Haven,yellow,0.33731105807478123,1257.0
Lighthouse,yellow,0.3198090692124105,1257.0
Arena,yellow,0.29891304347826086,368.0
Fortifications,red,0.3330316742081448,1105.0
Arsenal,red,0.2765432098765432,810.0
 Siege Workshop,red,0.2693649685973482,1433.0
Lodge,green,0.4597970335675254,1281.0
Observatory,green,0.4042379788101059,1227.0
University,green,0.43976545842217485,1876.0
Academy,green,0.44318983768525055,1417.0
Study,green,0.40783744557329465,2067.0
Workers Guild,purple,0.33638443935926776,437.0
Traders Guild,purple,0.40816326530612246,343.0
Philosophers Guild,purple,0.45072463768115945,690.0
Spies Guild,purple,0.2958500669344043,747.0
Strategists Guild,purple,0.32368896925858953,553.0
Shipowners Guild,purple,0.40604026845637586,298.0
Scientists Guild,purple,0.4570552147239264,978.0
Magistrates Guild,purple,0.3157894736842105,627.0
Builders Guild,purple,0.3037383177570093,642.0
