name,type,win_rate,gamesplayed
Lumber Yard,brown,0.3893911995177818,1659.0
Stone Pit,brown,0.35995085995085996,1628.0
Clay Pool,brown,0.3553268765133172,1652.0
Ore Vein,brown,0.32649253731343286,1608.0
Clay Pit,brown,0.3203033838973162,1714.0
Timber Yard,brown,0.4842355740630577,1681.0
Glassworks,grey,0.3604143947655398,1834.0
Press,grey,0.3656493117893477,1671.0
Loom,grey,0.375,1296.0
Baths,blue,0.3509127789046653,986.0
Altar,blue,0.34415584415584416,462.0
Theatre,blue,0.0,3.0
East Trading Post,yellow,0.3826879271070615,1756.0
West Trading Post,yellow,0.36642156862745096,1632.0
Marketplace,yellow,0.3563295378432686,1493.0
Stockade,red,0.38613861386138615,1616.0
Barracks,red,0.3780937335439705,1899.0
Guard Tower,red,0.385122975404919,1667.0
Apothecary,green,0.3780848963474827,1013.0
Workshop,green,0.40284842319430314,983.0
Scriptorium,green,0.44255744255744256,1001.0
Sawmill,brown,0.31553730321697465,1461.0
Quarry,brown,0.3902439024390244,574.0
Brickyard,brown,0.33458244111349034,1868.0
Foundry,brown,0.33088235294117646,136.0
Aqueduct,blue,0.38871951219512196,1312.0
Temple,blue,0.3398294762484775,821.0
Statue,blue,0.32075471698113206,689.0
Courthouse,blue,0.3788927335640138,1156.0
Forum,yellow,0.3439635535307517,1756.0
Caravansery,yellow,0.473015873015873,1575.0
Vineyard,yellow,0.35563950350782514,1853.0
Walls,red,0.48526315789473684,950.0
Stables,red,0.4120070629782225,1699.0
Archery Range,red,0.36662883087400683,1762.0
Dispensary,green,0.38518024032042725,1498.0
Laboratory,green,0.35231586940015186,1317.0
Library,green,0.4229828850855746,1227.0
School,green,0.3989071038251366,1464.0
Pantheon,blue,0.3974358974358974,1638.0
Gardens,blue,0.33263707571801565,1915.0
Town Hall,blue,0.34608266502159163,1621.0
Palace,blue,0.439622641509434,1590.0
Senate,blue,0.38388625592417064,1688.0
Haven,yellow,0.3756773028296207,1661.0
Lighthouse,yellow,0.37310195227765725,1844.0
Arena,yellow,0.33473389355742295,714.0
Fortifications,red,0.3592814371257485,1837.0
Arsenal,red,0.3126064735945486,1174.0
 Siege Workshop,red,0.2877563704164077,1609.0
Lodge,green,0.4675480769230769,832.0
Observatory,green,0.4263959390862944,788.0
University,green,0.44473684210526315,1140.0
Academy,green,0.45549738219895286,955.0
Study,green,0.44313725490196076,1275.0
Workers Guild,purple,0.4093567251461988,513.0
Traders Guild,purple,0.4365781710914454,339.0
Philosophers Guild,purple,0.4489311163895487,842.0
Spies Guild,purple,0.33741496598639453,735.0
Strategists Guild,purple,0.39927184466019416,824.0
Shipowners Guild,purple,0.44841269841269843,252.0
Scientists Guild,purple,0.45314685314685316,715.0
Magistrates Guild,purple,0.3659305993690852,634.0
Builders Guild,purple,0.3660436137071651,642.0
